threshold,tar,far
0.64525795,0.94200000,0.81966667
0.64538443,0.94166667,0.81966667
0.64552832,0.94166667,0.81933333
0.64570230,0.94166667,0.81900000
0.64592057,0.94166667,0.81866667
0.64641815,0.94133333,0.81866667
0.64670348,0.94133333,0.81833333
0.64703131,0.94133333,0.81800000
0.64732111,0.94133333,0.81766667
0.64801866,0.94100000,0.81766667
0.64804524,0.94066667,0.81766667
0.64935583,0.94066667,0.81733333
0.64957982,0.94033333,0.81733333
0.64970422,0.94033333,0.81700000
0.64989871,0.94000000,0.81700000
0.65000165,0.94000000,0.81666667
0.65036017,0.93966667,0.81666667
0.65103322,0.93966667,0.81633333
0.65104091,0.93966667,0.81600000
0.65119565,0.93933333,0.81600000
0.65127325,0.93933333,0.81566667
0.65148365,0.93933333,0.81533333
0.65158713,0.93900000,0.81533333
0.65164745,0.93900000,0.81500000
0.65166438,0.93900000,0.81466667
0.65167904,0.93900000,0.81433333
0.65173197,0.93900000,0.81400000
0.65220934,0.93900000,0.81366667
0.65274972,0.93866667,0.81366667
0.65293264,0.93866667,0.81333333
0.65294635,0.93866667,0.81300000
0.65303814,0.93866667,0.81266667
0.65341663,0.93866667,0.81233333
0.65341908,0.93833333,0.81233333
0.65366226,0.93833333,0.81200000
0.65382552,0.93833333,0.81166667
0.65388083,0.93800000,0.81166667
0.65485245,0.93800000,0.81133333
0.65495253,0.93766667,0.81133333
0.65507507,0.93733333,0.81133333
0.65518486,0.93733333,0.81100000
0.65528411,0.93733333,0.81066667
0.65531796,0.93733333,0.81033333
0.65539086,0.93733333,0.81000000
0.65568197,0.93733333,0.80966667
0.65571344,0.93700000,0.80966667
0.65573215,0.93700000,0.80933333
0.65615976,0.93700000,0.80900000
0.65656626,0.93700000,0.80866667
0.65668178,0.93700000,0.80833333
0.65694696,0.93666667,0.80833333
0.65701640,0.93666667,0.80800000
0.65709287,0.93666667,0.80766667
0.65720212,0.93633333,0.80766667
0.65726066,0.93633333,0.80733333
0.65761739,0.93600000,0.80733333
0.65787196,0.93600000,0.80700000
0.65824735,0.93600000,0.80666667
0.65853059,0.93566667,0.80666667
0.65854710,0.93533333,0.80666667
